Hour,Temperature(C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Seasons,Holiday,Functioning Day,Rented Bike Count
23.0,3.8,83.0,1.1,390.0,1.1,0.0,0.0,0.4,Autumn,No Holiday,Yes,379
14.0,24.0,47.0,2.3,520.0,11.9,2.87,0.0,0.0,Spring,No Holiday,Yes,1055
19.0,-7.1,33.0,2.0,1887.0,-20.6,0.0,0.0,0.0,Winter,No Holiday,Yes,122
12.0,12.3,97.0,0.8,238.0,11.8,0.14,2.0,0.0,Spring,No Holiday,Yes,11
4.0,3.6,70.0,0.8,1934.0,-1.3,0.0,0.0,0.0,Autumn,No Holiday,Yes,147
19.0,-1.5,32.0,2.5,2000.0,-16.0,0.0,0.0,0.0,Winter,Holiday,Yes,169
23.0,27.0,78.0,1.6,1609.0,22.8,0.0,0.0,0.0,Summer,No Holiday,Yes,1113
9.0,20.8,64.0,1.1,1205.0,,1.13,0.0,0.0,Autumn,No Holiday,No,0
9.0,0.1,91.0,0.8,265.0,-1.1,0.14,0.0,0.8,Winter,No Holiday,Yes,415
1.0,1.9,32.0,1.4,1999.0,-13.0,0.0,0.0,0.0,Autumn,No Holiday,Yes,485
16.0,8.3,35.0,,1987.0,-6.2,0.37,0.0,0.0,Autumn,No Holiday,Yes,974
11.0,-9.4,42.0,3.1,1815.0,-19.9,0.93,0.0,0.0,Winter,No Holiday,Yes,201
2.0,4.8,66.0,1.6,2000.0,-1.0,0.0,0.0,0.0,Autumn,No Holiday,Yes,187
23.0,13.4,69.0,3.7,2000.0,7.8,0.0,0.0,0.0,Autumn,No Holiday,Yes,1057
13.0,17.9,60.0,2.2,1248.0,10.0,0.86,,0.0,Spring,No Holiday,Yes,1156
13.0,36.8,44.0,1.8,1625.0,22.5,,0.0,0.0,Summer,No Holiday,Yes,585
10.0,4.8,40.0,1.1,1676.0,,0.59,0.0,0.0,Autumn,No Holiday,Yes,583
19.0,18.6,54.0,2.7,2000.0,9.0,0.01,0.0,0.0,Autumn,Holiday,Yes,1280
5.0,9.7,63.0,1.1,1304.0,2.9,0.0,,0.0,Spring,No Holiday,Yes,138
6.0,6.7,86.0,0.3,593.0,4.5,0.0,0.0,,Autumn,No Holiday,Yes,299
11.0,-1.6,35.0,,1812.0,-15.1,0.87,0.0,0.0,Winter,No Holiday,Yes,245
4.0,24.6,86.0,0.1,1358.0,22.0,,0.0,0.0,Summer,No Holiday,Yes,278
11.0,31.9,53.0,1.2,2000.0,21.1,2.33,0.0,0.0,Summer,No Holiday,Yes,697
17.0,22.0,65.0,2.4,589.0,15.1,0.47,0.0,0.0,Spring,Holiday,Yes,1898
22.0,10.0,56.0,,1290.0,1.6,0.0,0.0,0.0,Autumn,No Holiday,Yes,1106
11.0,8.2,45.0,2.4,1992.0,-3.0,2.38,0.0,0.0,Spring,No Holiday,Yes,557
12.0,22.9,35.0,0.8,1948.0,6.6,3.05,0.0,0.0,Spring,No Holiday,Yes,1414
3.0,18.5,82.0,0.8,342.0,15.3,0.0,0.0,0.0,Spring,No Holiday,Yes,170
20.0,0.2,72.0,0.7,990.0,-4.2,0.0,0.0,0.8,Winter,No Holiday,Yes,288
10.0,34.3,48.0,2.5,1822.0,21.7,2.12,0.0,0.0,Summer,No Holiday,Yes,530
8.0,23.1,80.0,0.2,1066.0,,0.27,0.1,0.0,Summer,No Holiday,Yes,1686
14.0,34.4,65.0,1.8,960.0,26.8,1.75,0.2,0.0,Summer,No Holiday,Yes,314
5.0,29.3,55.0,1.6,2000.0,19.3,0.0,0.0,0.0,Summer,No Holiday,Yes,310
17.0,-5.7,30.0,3.6,1978.0,-20.5,0.4,0.0,0.0,Winter,No Holiday,Yes,239
7.0,-4.7,56.0,,2000.0,-12.1,0.0,0.0,0.0,Winter,Holiday,Yes,81
16.0,28.3,41.0,2.6,,13.7,2.58,0.0,0.0,Summer,No Holiday,Yes,1991
8.0,-2.1,71.0,1.7,610.0,-6.6,0.06,0.0,0.0,Winter,No Holiday,Yes,727
